id,name,price,quantity,discount
PRD-000001,Quantum Pro Wi-Fi Router,371.86,71,8.80%
PRD-000002,Titan Turbo Water Bottle,53.47,47,2.60%
PRD-000003,Nova Active Fitness Tracker,1075.72,359,6.50%
PRD-000004,Omni Eco Soundbar,421.61,445,0.10%
PRD-000005,Hyper Extreme Water Bottle,514.32,79,2.60%
PRD-000006,Cipher Lite USB-C Hub,573.6,183,10.20%
PRD-000007,Velocity Seamless Gaming Mouse,1096.21,274,1.50%
PRD-000008,Astra Max Drone,444,321,7.40%
PRD-000009,Krypton Turbo Fitness Tracker,1058.62,23,7.90%
PRD-000010,Sol Max Desk Lamp,1300.52,194,3.30%
PRD-000011,Krypton Prime Coffee Maker,536.76,343,3.20%
PRD-000012,Pulse Precision Laptop Stand,803.99,125,2.00%
PRD-000013,Astra Portable Drone,334.1,166,10.10%
PRD-000014,Zenith Compact Gaming Mouse,1208.73,205,3.20%
PRD-000015,Orbit Turbo Smart Plug,323.65,255,4.70%
PRD-000016,Synergy Elite Portable Charger,214.6,381,6.70%
PRD-000017,Velocity Core Soundbar,646.07,298,4.80%
PRD-000018,Omni Elite Smart Scale,743.3,386,0.60%
PRD-000019,Quantum Elite Laptop Stand,1189.36,216,7.20%
PRD-000020,Astra Gaming Smart Lock,1494.2,270,3.00%
PRD-000021,Apex Modular Bluetooth Speaker,1024.47,274,9.00%
PRD-000022,Cipher Lite Microphone Kit,655.53,232,0.00%
PRD-000023,Velocity Stealth Noise Canceling Earbuds,764.47,54,10.40%
PRD-000024,Aero Intelligent Smart Scale,915.79,78,4.50%
PRD-000025,Hyper Active Thermal Mug,1378.22,306,3.90%
PRD-000026,Nova Lite Coffee Maker,1318.8,425,9.70%
PRD-000027,Prism Ultra Action Camera,1317.74,484,0.90%
PRD-000028,Optima Intelligent 4K Monitor,1467.1,272,9.20%
PRD-000029,Nexus Modular Dash Cam,1420.58,84,3.20%
PRD-000030,Matrix Advanced Ring Light,1134.36,353,2.40%
PRD-000031,Aero Gaming Coffee Maker,660.51,264,5.40%
PRD-000032,Prism Compact 4K Monitor,511.09,301,6.60%
PRD-000033,Omni Pro 4K Monitor,1063.5,30,2.70%
PRD-000034,Vortex Speed Electric Toothbrush,111.85,121,3.30%
PRD-000035,Optima Advanced Ring Light,203.66,478,10.60%
